lecture_id,rank,title,url,reason
2026-06-23-M1-00,1,Physics With Calculus - Basic Introduction,https://www.youtube.com/watch?v=IQ4LGQRBhrc,"Builds the derivative–integral foundation connecting position, velocity, and acceleration. This supports the lecture’s crucial strategy of differentiating or integrating time-dependent motion instead of using constant-acceleration formulas."
2026-06-23-M1-00,2,"Rotational Motion Physics, Basic Introduction, Angular Velocity & Tangential Acceleration",https://www.youtube.com/watch?v=WQ9AH2S8B6Y,"Best conceptual match for translating linear motion into angular displacement, velocity, and acceleration, while relating angular quantities to tangential and centripetal acceleration."
2026-06-23-M1-00,3,"Rotational Kinematics Physics Problems, Basic Introduction, Equations & Formulas",https://www.youtube.com/watch?v=0El-DqrCTZM,"Adds focused problem practice with angular displacement, velocity, acceleration, and time, covering the lecture’s constant-angular-acceleration equations and rotational-kinematics setup without duplicating the conceptual introduction."
2026-06-24-M1-1,1,"Velocity Time Graphs, Acceleration & Position Time Graphs - Physics",https://www.youtube.com/watch?v=nUb7xfkc0Ac,"Reviews the graph-based reasoning that transfers directly from x–v–a plots to θ–ω–α plots, including slopes, areas, and determining whether motion is speeding up or slowing down."
2026-06-24-M1-1,2,"Rotational Motion Physics, Basic Introduction, Angular Velocity & Tangential Acceleration",https://www.youtube.com/watch?v=WQ9AH2S8B6Y,"Provides the central conceptual bridge from translation to rotation and covers angular displacement, angular velocity, angular acceleration, tangential acceleration, and inward centripetal acceleration."
2026-06-24-M1-1,3,"Rotational Kinematics Physics Problems, Basic Introduction, Equations & Formulas",https://www.youtube.com/watch?v=0El-DqrCTZM,"Supplies the closest representative problem practice for selecting and applying constant-angular-acceleration equations to find angular acceleration, displacement, stopping time, and related quantities."
2026-06-25-M1-2,1,"Angular Velocity Physics Problems, Linear Speed, Frequency & Period",https://www.youtube.com/watch?v=d5VXZGinKSk,"Provides the angular-motion foundation for the disk problem: angular displacement and speed, period and frequency, ω = 2π/T, and coordinating rotational timing with linear motion."
2026-06-25-M1-2,2,"Introduction to Centripetal Acceleration - Period, Frequency, & Linear Speed - Physics Problems",https://www.youtube.com/watch?v=ZbLirQuT9uU,"Best match for the main uniform-circular-motion section, covering changing velocity direction, inward radial acceleration, and calculations involving linear speed, period, and frequency."
2026-06-25-M1-2,3,"Non-Uniform Circular Motion Problems, Centripetal Acceleration & Tangential Acceleration, Physics",https://www.youtube.com/watch?v=XlvD5_0FVSc,Covers the distinct extension to nonuniform motion: separating radial and tangential acceleration and combining them to determine net acceleration.
2026-06-29-M1-3,1,"Rotational Motion Physics, Basic Introduction, Angular Velocity & Tangential Acceleration",https://www.youtube.com/watch?v=WQ9AH2S8B6Y,"Establishes the angular-to-linear relationships, period and frequency, and the distinction among tangential and centripetal acceleration needed for both lecture examples."
2026-06-29-M1-3,2,"Normal Force on a Hill, Centripetal Force, Roller Coaster Problem, Vertical Circular Motion, Physics",https://www.youtube.com/watch?v=Ec6btKP4qfg,The closest match to the Ferris-wheel analysis: draw radial free-body diagrams and determine how normal force changes between the top and bottom of a vertical circle.
