role,layer,course,topic-id,topic-number,topic-name,md-path,src-path
lesson,51,CA2,982,4.3.2,Convergent and Divergent Infinite Series,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.3. Infinite Series/Lessons/4.3.2. Convergent and Divergent Infinite Series.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.3. Infinite Series/Source/4.3.2. Convergent and Divergent Infinite Series
lesson,52,CA2,983,4.3.3,Properties of Infinite Series,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.3. Infinite Series/Lessons/4.3.3. Properties of Infinite Series.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.3. Infinite Series/Source/4.3.3. Properties of Infinite Series
lesson,52,CA2,1020,4.4.3,Sums of Infinite Geometric Series Given in Sigma Notation,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.4. Geometric Series/Lessons/4.4.3. Sums of Infinite Geometric Series Given in Sigma Notation.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.4. Geometric Series/Source/4.4.3. Sums of Infinite Geometric Series Given in Sigma Notation
lesson,53,CA2,4052,4.3.4,Further Properties of Infinite Series,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.3. Infinite Series/Lessons/4.3.4. Further Properties of Infinite Series.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.3. Infinite Series/Source/4.3.4. Further Properties of Infinite Series
lesson,54,CA2,860,4.5.4,Harmonic Series and p-Series,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.4. Harmonic Series and p-Series.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.4. Harmonic Series and p-Series
lesson,62,CA2,743,4.5.1,The Nth Term Test for Divergence,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.1. The Nth Term Test for Divergence.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.1. The Nth Term Test for Divergence
lesson,70,CA2,744,4.5.2,The Integral Test,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.2. The Integral Test.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.2. The Integral Test
lesson,71,CA2,1173,4.5.3,The Remainder Estimate for the Integral Test,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.3. The Remainder Estimate for the Integral Test.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.3. The Remainder Estimate for the Integral Test
prerequisite,24,MF1,380,7.1.1,Writing Radical Expressions Using Fractional Exponents,vault/MA/Mathematical-Foundations/MF1/7. Radical & Rational Expressions/7.1. Radical Expressions/Lessons/7.1.1. Writing Radical Expressions Using Fractional Exponents.md,vault/MA/Mathematical-Foundations/MF1/7. Radical & Rational Expressions/7.1. Radical Expressions/Source/7.1.1. Writing Radical Expressions Using Fractional Exponents
prerequisite,25,MF1,165,8.1.11,Piecewise Functions,vault/MA/Mathematical-Foundations/MF1/8. Functions/8.1. Functions/Lessons/8.1.11. Piecewise Functions.md,vault/MA/Mathematical-Foundations/MF1/8. Functions/8.1. Functions/Source/8.1.11. Piecewise Functions
prerequisite,32,MF2,3958,7.1.5,Properties of Finite Series,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.1. Introduction to Sequences/Lessons/7.1.5. Properties of Finite Series.md,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.1. Introduction to Sequences/Source/7.1.5. Properties of Finite Series
prerequisite,32,MF3,1088,1.4.1,Convergence of Geometric Sequences,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.1. Convergence of Geometric Sequences.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.1. Convergence of Geometric Sequences
prerequisite,32,MF3,981,1.4.3,Infinite Series and Partial Sums,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.3. Infinite Series and Partial Sums.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.3. Infinite Series and Partial Sums
prerequisite,32,MF3,477,9.1.1,Approximating Areas With the Left Riemann Sum,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.1. Approximating Areas with Riemann Sums/Lessons/9.1.1. Approximating Areas With the Left Riemann Sum.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.1. Approximating Areas with Riemann Sums/Source/9.1.1. Approximating Areas With the Left Riemann Sum
prerequisite,32,MF3,1281,9.1.2,Approximating Areas With the Right Riemann Sum,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.1. Approximating Areas with Riemann Sums/Lessons/9.1.2. Approximating Areas With the Right Riemann Sum.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.1. Approximating Areas with Riemann Sums/Source/9.1.2. Approximating Areas With the Right Riemann Sum
prerequisite,33,MF3,691,1.4.7,Finding the Sum of an Infinite Geometric Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.7. Finding the Sum of an Infinite Geometric Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.7. Finding the Sum of an Infinite Geometric Series
prerequisite,33,MF3,686,1.4.8,Writing an Infinite Geometric Series in Sigma Notation,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.8. Writing an Infinite Geometric Series in Sigma Notation.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.8. Writing an Infinite Geometric Series in Sigma Notation
