role,layer,course,topic-id,topic-number,topic-name,md-path,src-path
lesson,25,MF2,1226,7.1.2,Recursive Sequences,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.1. Introduction to Sequences/Lessons/7.1.2. Recursive Sequences.md,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.1. Introduction to Sequences/Source/7.1.2. Recursive Sequences
lesson,52,DSM,1189,5.3.1,The Generalized Binomial Theorem,/Users/jake/Developer/study/vault/MA/Mathematical-Structures-&-Proof/DSM/5. Sequences/5.3. The Binomial Theorem/Lessons/5.3.1. The Generalized Binomial Theorem.md,/Users/jake/Developer/study/vault/MA/Mathematical-Structures-&-Proof/DSM/5. Sequences/5.3. The Binomial Theorem/Source/5.3.1. The Generalized Binomial Theorem
lesson,53,DSM,695,5.3.2,Working With the Generalized Binomial Theorem,/Users/jake/Developer/study/vault/MA/Mathematical-Structures-&-Proof/DSM/5. Sequences/5.3. The Binomial Theorem/Lessons/5.3.2. Working With the Generalized Binomial Theorem.md,/Users/jake/Developer/study/vault/MA/Mathematical-Structures-&-Proof/DSM/5. Sequences/5.3. The Binomial Theorem/Source/5.3.2. Working With the Generalized Binomial Theorem
lesson,54,DSM,1191,5.3.3,Determining Ranges of Validity for Generalized Binomial Expansions,/Users/jake/Developer/study/vault/MA/Mathematical-Structures-&-Proof/DSM/5. Sequences/5.3. The Binomial Theorem/Lessons/5.3.3. Determining Ranges of Validity for Generalized Binomial Expansions.md,/Users/jake/Developer/study/vault/MA/Mathematical-Structures-&-Proof/DSM/5. Sequences/5.3. The Binomial Theorem/Source/5.3.3. Determining Ranges of Validity for Generalized Binomial Expansions
lesson,54,DSM,1192,5.3.4,Approximating Values Using the Generalized Binomial Theorem,/Users/jake/Developer/study/vault/MA/Mathematical-Structures-&-Proof/DSM/5. Sequences/5.3. The Binomial Theorem/Lessons/5.3.4. Approximating Values Using the Generalized Binomial Theorem.md,/Users/jake/Developer/study/vault/MA/Mathematical-Structures-&-Proof/DSM/5. Sequences/5.3. The Binomial Theorem/Source/5.3.4. Approximating Values Using the Generalized Binomial Theorem
lesson,71,CA2,1174,4.5.11,The Alternating Series Error Bound,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.11. The Alternating Series Error Bound.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.11. The Alternating Series Error Bound
lesson,71,CA2,1177,4.6.1,Second-Degree Taylor Polynomials,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.6. Taylor Polynomials/Lessons/4.6.1. Second-Degree Taylor Polynomials.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.6. Taylor Polynomials/Source/4.6.1. Second-Degree Taylor Polynomials
lesson,73,CA2,1222,4.6.3,Third-Degree Taylor Polynomials,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.6. Taylor Polynomials/Lessons/4.6.3. Third-Degree Taylor Polynomials.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.6. Taylor Polynomials/Source/4.6.3. Third-Degree Taylor Polynomials
lesson,74,CA2,3771,4.6.4,Higher-Degree Taylor Polynomials,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.6. Taylor Polynomials/Lessons/4.6.4. Higher-Degree Taylor Polynomials.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.6. Taylor Polynomials/Source/4.6.4. Higher-Degree Taylor Polynomials
lesson,75,CA2,1080,4.6.5,The Lagrange Error Bound,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.6. Taylor Polynomials/Lessons/4.6.5. The Lagrange Error Bound.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.6. Taylor Polynomials/Source/4.6.5. The Lagrange Error Bound
lesson,77,CA2,885,4.7.5,Representing Functions as Power Series,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.7. Taylor Series/Lessons/4.7.5. Representing Functions as Power Series.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.7. Taylor Series/Source/4.7.5. Representing Functions as Power Series
lesson,78,CA2,886,4.7.9,Approximating Integrals Using Taylor Series,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.7. Taylor Series/Lessons/4.7.9. Approximating Integrals Using Taylor Series.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.7. Taylor Series/Source/4.7.9. Approximating Integrals Using Taylor Series
prerequisite,21,MF1,347,5.6.12,Intersections of Intervals,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.6. Solving Linear Inequalities/Lessons/5.6.12. Intersections of Intervals.md,vault/MA/Mathematical-Foundations/MF1/5. Equations & Inequalities/5.6. Solving Linear Inequalities/Source/5.6.12. Intersections of Intervals
prerequisite,24,MF2,2271,7.1.1,Introduction to Sequences,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.1. Introduction to Sequences/Lessons/7.1.1. Introduction to Sequences.md,vault/MA/Mathematical-Foundations/MF2/7. Sequences/7.1. Introduction to Sequences/Source/7.1.1. Introduction to Sequences
prerequisite,30,MF3,3764,1.1.3,The Special Case of the Binomial Theorem,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.1. The Binomial Theorem/Lessons/1.1.3. The Special Case of the Binomial Theorem.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.1. The Binomial Theorem/Source/1.1.3. The Special Case of the Binomial Theorem
prerequisite,31,MF3,1158,1.1.4,Approximating Values Using the Binomial Theorem,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.1. The Binomial Theorem/Lessons/1.1.4. Approximating Values Using the Binomial Theorem.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.1. The Binomial Theorem/Source/1.1.4. Approximating Values Using the Binomial Theorem
prerequisite,32,MF2,30,5.2.4,Combining the Laws of Logarithms,vault/MA/Mathematical-Foundations/MF2/5. Exponentials & Logarithms/5.2. The Laws of Logarithms/Lessons/5.2.4. Combining the Laws of Logarithms.md,vault/MA/Mathematical-Foundations/MF2/5. Exponentials & Logarithms/5.2. The Laws of Logarithms/Source/5.2.4. Combining the Laws of Logarithms
prerequisite,33,MF3,982,1.4.4,Convergent and Divergent Infinite Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.4. Convergent and Divergent Infinite Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.4. Convergent and Divergent Infinite Series
prerequisite,33,MF3,691,1.4.7,Finding the Sum of an Infinite Geometric Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.7. Finding the Sum of an Infinite Geometric Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.7. Finding the Sum of an Infinite Geometric Series
prerequisite,37,MF2,6351,5.5.4,Combining Graph Transformations of Exponential Functions,vault/MA/Mathematical-Foundations/MF2/5. Exponentials & Logarithms/5.5. Graphs of Exponential Functions/Lessons/5.5.4. Combining Graph Transformations of Exponential Functions.md,vault/MA/Mathematical-Foundations/MF2/5. Exponentials & Logarithms/5.5. Graphs of Exponential Functions/Source/5.5.4. Combining Graph Transformations of Exponential Functions
prerequisite,44,MF2,281,12.2.4,Second and Higher-Order Derivatives,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.2. Derivatives of Functions and the Rules of Differentiation/Lessons/12.2.4. Second and Higher-Order Derivatives.md,vault/MA/Mathematical-Foundations/MF2/12. Introduction to Calculus/12.2. Derivatives of Functions and the Rules of Differentiation/Source/12.2.4. Second and Higher-Order Derivatives
prerequisite,44,MF3,684,1.4.10,Convergence of Geometric Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.10. Convergence of Geometric Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.10. Convergence of Geometric Series
prerequisite,49,MF3,1685,9.2.4,The Sum and Constant Multiple Rules for Definite Integrals,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Lessons/9.2.4. The Sum and Constant Multiple Rules for Definite Integrals.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Source/9.2.4. The Sum and Constant Multiple Rules for Definite Integrals
prerequisite,52,MF3,621,8.2.13,Approximating Functions Using Local Linearity and Linearization,vault/MA/Mathematical-Foundations/MF3/8. Differentiation/8.2. Analytical Applications of Differentiation/Lessons/8.2.13. Approximating Functions Using Local Linearity and Linearization.md,vault/MA/Mathematical-Foundations/MF3/8. Differentiation/8.2. Analytical Applications of Differentiation/Source/8.2.13. Approximating Functions Using Local Linearity and Linearization
prerequisite,54,MF3,3825,8.4.2,Analyzing Second-Degree Taylor Polynomials,vault/MA/Mathematical-Foundations/MF3/8. Differentiation/8.4. Taylor Series/Lessons/8.4.2. Analyzing Second-Degree Taylor Polynomials.md,vault/MA/Mathematical-Foundations/MF3/8. Differentiation/8.4. Taylor Series/Source/8.4.2. Analyzing Second-Degree Taylor Polynomials
prerequisite,58,MF3,3826,8.4.6,Taylor Series,vault/MA/Mathematical-Foundations/MF3/8. Differentiation/8.4. Taylor Series/Lessons/8.4.6. Taylor Series.md,vault/MA/Mathematical-Foundations/MF3/8. Differentiation/8.4. Taylor Series/Source/8.4.6. Taylor Series
prerequisite,70,CA2,747,4.5.7,The Alternating Series Test,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.7. The Alternating Series Test.md,vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.7. The Alternating Series Test
