role,layer,course,topic-id,topic-number,topic-name,md-path,src-path
lesson,61,CA2,746,4.5.8,The Ratio Test,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.8. The Ratio Test.md,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.8. The Ratio Test
lesson,63,CA2,745,4.5.5,The Comparison Test,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.5. The Comparison Test.md,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.5. The Comparison Test
lesson,64,CA2,750,4.5.6,The Limit Comparison Test,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.6. The Limit Comparison Test.md,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.6. The Limit Comparison Test
lesson,71,CA2,748,4.5.10,Absolute and Conditional Convergence,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.10. Absolute and Conditional Convergence.md,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.10. Absolute and Conditional Convergence
lesson,71,CA2,1172,4.5.13,Selecting Procedures for Analyzing Infinite Series,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Lessons/4.5.13. Selecting Procedures for Analyzing Infinite Series.md,/Users/jake/Developer/study/vault/MA/Single-Variable-Calculus/CA2/4. Sequences & Series/4.5. Infinite Series Convergence Tests/Source/4.5.13. Selecting Procedures for Analyzing Infinite Series
prerequisite,33,MF3,982,1.4.4,Convergent and Divergent Infinite Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.4. Convergent and Divergent Infinite Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.4. Convergent and Divergent Infinite Series
prerequisite,34,MF2,436,6.1.5,Dividing Rational Expressions,vault/MA/Mathematical-Foundations/MF2/6. Radical & Rational Functions/6.1. Rational Expressions/Lessons/6.1.5. Dividing Rational Expressions.md,vault/MA/Mathematical-Foundations/MF2/6. Radical & Rational Functions/6.1. Rational Expressions/Source/6.1.5. Dividing Rational Expressions
prerequisite,43,MF3,1245,7.1.9,Determining Limits of Sequences Using Relative Magnitudes,vault/MA/Mathematical-Foundations/MF3/7. Limits & Continuity/7.1. Limits/Lessons/7.1.9. Determining Limits of Sequences Using Relative Magnitudes.md,vault/MA/Mathematical-Foundations/MF3/7. Limits & Continuity/7.1. Limits/Source/7.1.9. Determining Limits of Sequences Using Relative Magnitudes
prerequisite,44,MF3,684,1.4.10,Convergence of Geometric Series,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Lessons/1.4.10. Convergence of Geometric Series.md,vault/MA/Mathematical-Foundations/MF3/1. Sequences and Series/1.4. Infinite Series/Source/1.4.10. Convergence of Geometric Series
prerequisite,100095,Calc2,1089,4.1.4,Limits of Sequences With Factorials,/Users/jake/Developer/MA/DATA/Lessons/1089/1089.md,/Users/jake/Developer/MA/DATA/Lessons/1089/Source
prerequisite,100111,Calc2,743,4.5.1,The Nth Term Test for Divergence,/Users/jake/Developer/MA/DATA/Lessons/743/743.md,/Users/jake/Developer/MA/DATA/Lessons/743/Source
prerequisite,100112,Calc2,744,4.5.2,The Integral Test,/Users/jake/Developer/MA/DATA/Lessons/744/744.md,/Users/jake/Developer/MA/DATA/Lessons/744/Source
prerequisite,100114,Calc2,860,4.5.4,Harmonic Series and p-Series,/Users/jake/Developer/MA/DATA/Lessons/860/860.md,/Users/jake/Developer/MA/DATA/Lessons/860/Source
prerequisite,100117,Calc2,747,4.5.7,The Alternating Series Test,/Users/jake/Developer/MA/DATA/Lessons/747/747.md,/Users/jake/Developer/MA/DATA/Lessons/747/Source
