study-order,topic-id,question-number,question-id,answer,expected-occurrences
40,2564,2,221942,17/9,1
41,2564,3,218419,14/99,1
44,2564,6,223630,211/900,1
47,347,3,208742,"-1, 0",3
48,347,4,214604,1,3
49,347,5,214619,"-3, 2",3
83,371,2,216683,"5, 14",2
84,371,3,214088,"6, 17, 5",2
87,371,6,216734,"-7, 7, 6, 6",2
89,2271,2,262867,306,4
90,2271,3,214103,23,4
109,2275,2,215869,6,2
110,2275,3,237271,"16, 81",2
117,1226,2,217094,-4,2
121,1226,6,217109,7,2
123,1226,8,217120,18,2
125,1226,10,217141,"1/2, 20",2
126,667,1,214150,6,2
128,667,3,215846,7/2,2
132,667,7,214151,35,2
133,667,8,215860,18,2
149,668,2,214167,6n - 3,2
150,668,3,236449,2n - 5,2
153,668,6,236630,98,2
154,668,7,236646,3n - 8,2
157,1818,2,249792,"(4/5)a_n, 100",1
158,1818,3,249795,"(-2/3)a_n, 243",1
159,1818,4,233046,25,1
160,1818,5,249805,4,1
163,1818,8,233070,-4,1
184,680,2,231754,1/128,3
186,680,4,231755,5,3
187,680,5,231756,6,3
189,680,7,231757,1/512,3
191,680,9,231759,1/12,3
193,472,2,300664,"2, 2",1
278,3764,2,234001,"2, 9/5",1
279,3764,3,234002,1 - 48t + 960t^2,1
282,3764,6,250997,3840,1
348,1158,2,234173,1.17165,1
349,1158,3,234174,0.762,1
352,1158,6,235253,74902.81,1
353,1158,7,266369,1.53,1
355,1158,9,266378,4.52,1
383,3958,3,233747,43,2
385,3958,5,233748,-3,2
474,269,1,262318,1,1
476,269,3,262382,0,1
477,269,4,262448,0,1
480,269,7,246828,2,1
564,2857,1,276944,-ln(6)/(2ln(8)),4
572,350,1,218675,"3, 4",4
575,350,4,218740,1,4
578,350,7,218794,"1, 3",4
582,350,11,220299,"2, 3",4
