corpus_row_id,module,assignment_folder,assignment_date,assignment_code,assignment_type,lesson_file,lesson_kind,problem_number,lesson_title,lesson_id,topic_code,prerequisite_section_index,prerequisite_section_count_in_file,prerequisite_ordinal,source_line,source_relative_path,source_path,prerequisite_text,normalized_text,primary_type,secondary_types,math_subtypes,physics_topics,mastery_action,depth_level,depth_label,atomicity,has_condition_or_convention,condition_or_convention_tags,suggested_remediation,contains_math_notation,explicit_prerequisite_link,linked_target,normalized_course_frequency,duplicate_within_lesson,classification_confidence,review_flag,classification_method,classification_notes
P212-0001,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,Problem-1.md,Problem lesson,1,Finding When Angular Velocity Reverses Direction,212-M1-031,MTH212.M1.31,1,1,1,18,M1/2026-06-23-M1-00/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-1.md,Solving an equation by isolating a squared variable,solving an equation by isolating a squared variable,Mathematical technique,,Numeracy and arithmetic | Algebra and formula manipulation,,Execute,D2,Paragraph or micro-example,Atomic,false,,Inline paragraph or micro-example,false,false,,1,false,High,false,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0002,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,Problem-1.md,Problem lesson,1,Finding When Angular Velocity Reverses Direction,212-M1-031,MTH212.M1.31,1,1,2,19,M1/2026-06-23-M1-00/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-1.md,Taking the square root of a perfect square,taking the square root of a perfect square,Mathematical technique,,Numeracy and arithmetic,,Execute,D2,Paragraph or micro-example,Atomic,false,,Inline paragraph or micro-example,false,false,,1,false,High,false,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0003,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,Problem-1.md,Problem lesson,1,Finding When Angular Velocity Reverses Direction,212-M1-031,MTH212.M1.31,1,1,3,20,M1/2026-06-23-M1-00/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-1.md,Knowing that the sign of angular velocity gives rotation direction,knowing that the sign of angular velocity gives rotation direction,"Physics concept, law, or relation",,,Circular and rotational motion,Recall,D1,Retrieval cue,Atomic,false,,Inline reminder,false,false,,1,false,High,false,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0004,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,Problem-2.md,Problem lesson,2,Angular Displacement Before Reversal,212-M1-032,MTH212.M1.32,1,1,1,18,M1/2026-06-23-M1-00/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-2.md,Solve an equation of the form $A-Bt^2=0$ for the positive time.,solve an equation of the form a-bt^2=0 for the positive time,Mathematical technique,,Algebra and formula manipulation,,Execute,D2,Paragraph or micro-example,Atomic,false,,Inline paragraph or micro-example,true,false,,1,false,High,false,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0005,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,Problem-2.md,Problem lesson,2,Angular Displacement Before Reversal,212-M1-032,MTH212.M1.32,1,1,2,19,M1/2026-06-23-M1-00/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-2.md,Interpret angular displacement as the integral of angular velocity.,interpret angular displacement as the integral of angular velocity,Semantic and physical interpretation,"Mathematical technique | Physics concept, law, or relation",Calculus,Circular and rotational motion,Interpret,D3,Short focused lesson,Atomic,false,,Short prerequisite lesson,false,false,,1,false,Medium,true,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0006,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,Problem-2.md,Problem lesson,2,Angular Displacement Before Reversal,212-M1-032,MTH212.M1.32,1,1,3,20,M1/2026-06-23-M1-00/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/Problem-2.md,"Use the power rule antiderivative $\int t^2\,dt=\frac{t^3}{3}$.","use the power rule antiderivative \int t^2\,dt=t^33",Mathematical technique,,Calculus,,Execute,D3,Short focused lesson,Atomic,false,,Short prerequisite lesson,true,false,,1,false,Medium,true,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0007,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,tangential-acceleration-from-angular-acceleration.md,Supplemental lesson,,Converting Angular Acceleration to Tangential Acceleration,212-M1-066,MTH212.M1.66,1,1,1,19,M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,Interpret $\omega$ as angular velocity and $\alpha$ as angular acceleration.,interpret \omega as angular velocity and \alpha as angular acceleration,Semantic and physical interpretation,"Physics concept, law, or relation",,Circular and rotational motion,Interpret,D2,Paragraph or micro-example,Atomic,false,,Inline paragraph or micro-example,true,false,,1,false,High,false,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0008,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,tangential-acceleration-from-angular-acceleration.md,Supplemental lesson,,Converting Angular Acceleration to Tangential Acceleration,212-M1-066,MTH212.M1.66,1,1,2,20,M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,Multiply and divide quantities with units.,multiply and divide quantities with units,Mathematical technique,Measurement and computation,Numeracy and arithmetic,,Execute,D2,Paragraph or micro-example,Atomic,false,,Inline paragraph or micro-example,false,false,,1,false,High,false,Rule-based taxonomy v2; focused corpus QA adjustment,Focused corpus QA adjustment applied
P212-0009,M1,2026-06-23-M1-00,2026-06-23,M1-00,Lecture,tangential-acceleration-from-angular-acceleration.md,Supplemental lesson,,Converting Angular Acceleration to Tangential Acceleration,212-M1-066,MTH212.M1.66,1,1,3,21,M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,/Users/jake/Developer/study/vault/212/M1/2026-06-23-M1-00/Lessons/tangential-acceleration-from-angular-acceleration.md,Use a chosen positive direction for rotation.,use a chosen positive direction for rotation,"Physics concept, law, or relation",Model condition or reference choice,,Circular and rotational motion,Execute,D2,Paragraph or micro-example,Atomic,true,Sign or direction convention,Inline paragraph or micro-example,false,false,,1,false,Medium,true,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0010,M1,2026-06-24-M1-1,2026-06-24,M1-1,Lecture,Problem-1.md,Problem lesson,1,Convert Revolutions Per Second to Angular Frequency,212-M1-033,MTH212.M1.33,1,1,1,19,M1/2026-06-24-M1-1/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,Know that one full revolution is \(2\pi\) radians.,know that one full revolution is \(2\pi\) radians,Model condition or reference choice,,,,Recall,D1,Retrieval cue,Atomic,true,Angle-unit or calculator-mode convention,Inline reminder,true,false,,1,false,High,false,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0011,M1,2026-06-24-M1-1,2026-06-24,M1-1,Lecture,Problem-1.md,Problem lesson,1,Convert Revolutions Per Second to Angular Frequency,212-M1-033,MTH212.M1.33,1,1,2,20,M1/2026-06-24-M1-1/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,Know how to multiply by a unit conversion factor.,know how to multiply by a unit conversion factor,Measurement and computation,Mathematical technique,Numeracy and arithmetic | Algebra and formula manipulation,,Recall,D2,Paragraph or micro-example,Atomic,false,,Inline paragraph or micro-example,false,false,,1,false,High,false,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0012,M1,2026-06-24-M1-1,2026-06-24,M1-1,Lecture,Problem-1.md,Problem lesson,1,Convert Revolutions Per Second to Angular Frequency,212-M1-033,MTH212.M1.33,1,1,3,21,M1/2026-06-24-M1-1/Lessons/Problem-1.md,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-1.md,Know how to round a number to a given number of significant figures.,know how to round a number to a given number of significant figures,Measurement and computation,,,,Recall,D2,Paragraph or micro-example,Atomic,false,,Inline paragraph or micro-example,false,false,,1,false,High,false,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0013,M1,2026-06-24-M1-1,2026-06-24,M1-1,Lecture,Problem-2.md,Problem lesson,2,Magnitude of Constant Angular Acceleration,212-M1-034,MTH212.M1.34,1,1,1,19,M1/2026-06-24-M1-1/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,"Interpret ""comes to a stop"" as a final angular velocity of $0$.","interpret ""comes to a stop"" as a final angular velocity of 0",Semantic and physical interpretation,"Physics concept, law, or relation",,Circular and rotational motion,Interpret,D2,Paragraph or micro-example,Atomic,false,,Inline paragraph or micro-example,true,false,,1,false,High,false,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0014,M1,2026-06-24-M1-1,2026-06-24,M1-1,Lecture,Problem-2.md,Problem lesson,2,Magnitude of Constant Angular Acceleration,212-M1-034,MTH212.M1.34,1,1,2,20,M1/2026-06-24-M1-1/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,Subtract final value minus initial value to find a change.,subtract final value minus initial value to find a change,Mathematical technique,,Numeracy and arithmetic,,Execute,D2,Paragraph or micro-example,Atomic,false,,Inline paragraph or micro-example,false,false,,1,false,High,false,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0015,M1,2026-06-24-M1-1,2026-06-24,M1-1,Lecture,Problem-2.md,Problem lesson,2,Magnitude of Constant Angular Acceleration,212-M1-034,MTH212.M1.34,1,1,3,21,M1/2026-06-24-M1-1/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,Divide a change by elapsed time to find a constant rate.,divide a change by elapsed time to find a constant rate,Mathematical technique,,Numeracy and arithmetic,,Execute,D2,Paragraph or micro-example,Atomic,false,,Inline paragraph or micro-example,false,false,,1,false,High,false,Rule-based taxonomy v2; corpus-level model review and spot checks,
P212-0016,M1,2026-06-24-M1-1,2026-06-24,M1-1,Lecture,Problem-2.md,Problem lesson,2,Magnitude of Constant Angular Acceleration,212-M1-034,MTH212.M1.34,1,1,4,22,M1/2026-06-24-M1-1/Lessons/Problem-2.md,/Users/jake/Developer/study/vault/212/M1/2026-06-24-M1-1/Lessons/Problem-2.md,Use radians per second as angular velocity units.,use radians per second as angular velocity units,"Physics concept, law, or relation",Measurement and computation | Model condition or reference choice,,Circular and rotational motion,Execute,D2,Paragraph or micro-example,Atomic,true,Angle-unit or calculator-mode convention,Inline paragraph or micro-example,false,false,,1,false,Medium,true,Rule-based taxonomy v2; corpus-level model review and spot checks,
