role,layer,course,topic-id,topic-number,topic-name,md-path,src-path
lesson,47,MF3,283,9.2.2,The Fundamental Theorem of Calculus,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Lessons/9.2.2. The Fundamental Theorem of Calculus.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Source/9.2.2. The Fundamental Theorem of Calculus
lesson,48,MF3,3575,9.2.3,Applying the Fundamental Theorem of Calculus to Exponential and Trigonometric Functions,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Lessons/9.2.3. Applying the Fundamental Theorem of Calculus to Exponential and Trigonometric Functions.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Source/9.2.3. Applying the Fundamental Theorem of Calculus to Exponential and Trigonometric Functions
lesson,49,MF3,1685,9.2.4,The Sum and Constant Multiple Rules for Definite Integrals,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Lessons/9.2.4. The Sum and Constant Multiple Rules for Definite Integrals.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Source/9.2.4. The Sum and Constant Multiple Rules for Definite Integrals
lesson,50,MF3,632,9.2.5,Properties of Definite Integrals Involving the Limits of Integration,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Lessons/9.2.5. Properties of Definite Integrals Involving the Limits of Integration.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.2. Definite Integrals/Source/9.2.5. Properties of Definite Integrals Involving the Limits of Integration
lesson,51,MF3,1432,9.3.4,Finding the Area Between a Curve and the X-Axis When They Intersect,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.3. The Area Under a Curve/Lessons/9.3.4. Finding the Area Between a Curve and the X-Axis When They Intersect.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.3. The Area Under a Curve/Source/9.3.4. Finding the Area Between a Curve and the X-Axis When They Intersect
lesson,52,MF3,333,9.4.1,The Integral as an Accumulation Function,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.4. Accumulation Functions/Lessons/9.4.1. The Integral as an Accumulation Function.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.4. Accumulation Functions/Source/9.4.1. The Integral as an Accumulation Function
lesson,52,MF3,1203,9.5.1,The Average Value of a Function,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.5. Applications of Integration/Lessons/9.5.1. The Average Value of a Function.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.5. Applications of Integration/Source/9.5.1. The Average Value of a Function
lesson,53,MF3,613,9.4.2,The Second Fundamental Theorem of Calculus,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.4. Accumulation Functions/Lessons/9.4.2. The Second Fundamental Theorem of Calculus.md,vault/MA/Mathematical-Foundations/MF3/9. Definite Integrals/9.4. Accumulation Functions/Source/9.4.2. The Second Fundamental Theorem of Calculus
lesson,54,MF3,335,11.1.6,Calculating the Position Function of a Particle Using Integration,"vault/MA/Mathematical-Foundations/MF3/11. Contextual Applications of Calculus/11.1. Displacement, Velocity, and Acceleration/Lessons/11.1.6. Calculating the Position Function of a Particle Using Integration.md","vault/MA/Mathematical-Foundations/MF3/11. Contextual Applications of Calculus/11.1. Displacement, Velocity, and Acceleration/Source/11.1.6. Calculating the Position Function of a Particle Using Integration"
lesson,55,MF3,3576,11.1.7,Calculating the Displacement of a Particle Using Integration,"vault/MA/Mathematical-Foundations/MF3/11. Contextual Applications of Calculus/11.1. Displacement, Velocity, and Acceleration/Lessons/11.1.7. Calculating the Displacement of a Particle Using Integration.md","vault/MA/Mathematical-Foundations/MF3/11. Contextual Applications of Calculus/11.1. Displacement, Velocity, and Acceleration/Source/11.1.7. Calculating the Displacement of a Particle Using Integration"
